Name,Position,Team
Dräger,Defender,Nottm Forest
Dubravka,Goalkeeper,Newcastle
Dummett,Defender,Newcastle
Ebiowei,Midfielder,Crystal Palace
Egan-Riley,Defender,Burnley
Ekdal,Defender,Burnley
Evans,Defender,Man Utd
Fabianski,Goalkeeper,West Ham
Fabinho,Midfielder,Liverpool
Felipe,Defender,Nottm Forest
Fernandez,Defender,Man Utd
Fleck,Midfielder,Sheffield Utd
Forson,Midfielder,Man Utd
Forster,Goalkeeper,Spurs
Franchi,Goalkeeper,Burnley
Francis-Clarke,Defender,Luton
Francois,Midfielder,Fulham
Fraser,Midfielder,Newcastle
Fraser,Forward,Wolves
Fred,Midfielder,Man Utd
Fredericks,Defender,Bournemouth
Freeman,Midfielder,Luton
Freuler,Midfielder,Nottm Forest
G.Scarpa,Midfielder,Nottm Forest
G.Shelvey,Goalkeeper,Nottm Forest
Gbamin,Midfielder,Everton
Ghoddos,Midfielder,Brentford
Gilchrist,Defender,Chelsea
Gillespie,Goalkeeper,Newcastle
González,Midfielder,Wolves
Goode,Defender,Brentford
Gordon,Forward,Crystal Palace
Gore,Midfielder,Man Utd
Gray,Midfielder,Everton
Greenwood,Defender,Bournemouth
Guaita,Goalkeeper,Crystal Palace
Guedes,Midfielder,Wolves
Hall,Defender,Newcastle
Harrison,Midfielder,Everton
Hause,Defender,Aston Villa
Hayden,Midfielder,Newcastle
Heaton,Goalkeeper,Man Utd
Hein,Goalkeeper,Arsenal
Henderson,Goalkeeper,Crystal Palace
Henderson,Midfielder,Liverpool
Hendrick,Midfielder,Newcastle
Hennessey,Goalkeeper,Nottm Forest
Hinshelwood,Midfielder,Brighton
Hodge,Midfielder,Wolves
Hoever,Defender,Wolves
Holding,Defender,Crystal Palace
Holgate,Defender,Everton
Horvath,Goalkeeper,Nottm Forest
Humphreys,Defender,Chelsea
I.Cavaleiro,Midfielder,Fulham
Igor,Defender,Brighton
Iroegbunam,Midfielder,Aston Villa
J.Lewis,Defender,Newcastle
J.Otto,Defender,Wolves
J.Ramsey,Midfielder,Aston Villa
J.Shelvey,Midfielder,Nottm Forest
J.Timber,Defender,Arsenal
J.Virginia,Goalkeeper,Everton
Jebbison,Forward,Sheffield Utd
Johnson,Defender,West Ham
Johnson,Defender,Luton
Jordão,Midfielder,Wolves
Kane,Forward,Spurs
Karbownik,Defender,Brighton
Karius,Goalkeeper,Newcastle
Kelleher,Goalkeeper,Liverpool
Kellyman,Midfielder,Aston Villa
Kilkenny,Midfielder,Bournemouth
King,Goalkeeper,Wolves
Knockaert,Midfielder,Fulham
Kongolo,Defender,Fulham
Kozłowski,Midfielder,Brighton
Krafth,Defender,Newcastle
Krul,Goalkeeper,Luton
Kuol,Midfielder,Newcastle
Laryea,Defender,Nottm Forest
Lavia,Midfielder,Chelsea
Lenglet,Defender,Aston Villa
Lloris,Goalkeeper,Spurs
Lonergan,Goalkeeper,Everton
Lowe,Midfielder,Bournemouth
Lukaku,Forward,Chelsea
M.Elneny,Midfielder,Arsenal
M.Sarr,Defender,Chelsea
Macey,Goalkeeper,Luton
Maguire,Defender,Man Utd
Mahrez,Midfielder,Man City
Mainoo,Midfielder,Man Utd
Malacia,Defender,Man Utd
Manquillo,Defender,Newcastle
Marcondes,Midfielder,Bournemouth
Marquinhos,Midfielder,Arsenal
Marschall,Goalkeeper,Aston Villa
Marsh,Forward,Sheffield Utd
Massengo,Midfielder,Burnley
Matheus França,Midfielder,Crystal Palace
Matos,Midfielder,Chelsea
Matthews,Goalkeeper,Crystal Palace
Mavropanos,Defender,West Ham
Mbabu,Defender,Fulham
Mbe Soh,Defender,Nottm Forest
McAtee,Forward,Luton
McConnell,Midfielder,Liverpool
McGill,Goalkeeper,Brighton
McNally,Defender,Burnley
Mendes,Midfielder,Luton
Mengi,Defender,Luton
Mighten,Midfielder,Nottm Forest
Miley,Midfielder,Newcastle
Mings,Defender,Aston Villa
Moder,Midfielder,Brighton
Mubama,Forward,West Ham
Muric,Goalkeeper,Burnley
Murillo,Defender,Nottm Forest
Muskwe,Forward,Luton
Ndiaye,Forward,Sheffield Utd
Ndombele,Midfielder,Spurs
Nkunku,Forward,Chelsea
Norrington-Davies,Defender,Sheffield Utd
O'Brien,Midfielder,Nottm Forest
O'Brien,Defender,Crystal Palace
O.Richards,Defender,Nottm Forest
Obafemi,Forward,Burnley
Odobert,Midfielder,Burnley
Odysseas,Goalkeeper,Nottm Forest
Ojeda,Midfielder,Nottm Forest
Olise,Midfielder,Crystal Palace
Omobamidele,Defender,Nottm Forest
Onyedinma,Midfielder,Luton
Ortega Moreno,Goalkeeper,Man City
Osho,Defender,Luton
Panzo,Defender,Nottm Forest
Peacock-Farrell,Goalkeeper,Burnley
Pearson,Midfielder,Bournemouth
Pepe,Midfielder,Arsenal
Pepple,Forward,Luton
Pereira,Midfielder,Luton
Perrone,Midfielder,Man City
Petrovic,Goalkeeper,Chelsea
Phillips,Defender,Spurs
Phillips,Defender,Liverpool
Plange,Forward,Crystal Palace
Podence,Midfielder,Wolves
Potts,Defender,Luton
Powell,Defender,Nottm Forest
Pulisic,Midfielder,Chelsea
Radu,Goalkeeper,Bournemouth
Randolph,Goalkeeper,Bournemouth
Rea,Midfielder,Luton
Riedewald,Midfielder,Crystal Palace
Ritchie,Midfielder,Newcastle
Rodon,Defender,Spurs
Rúnarsson,Goalkeeper,Arsenal
S.Bueno,Defender,Wolves
Saint-Maximin,Midfielder,Newcastle
Sanson,Midfielder,Aston Villa
Sarmiento,Midfielder,Brighton
Scamacca,Forward,West Ham
Scarlett,Forward,Spurs
Scherpen,Goalkeeper,Brighton
Scott,Midfielder,Bournemouth
Seriki,Defender,Sheffield Utd
Sessegnon,Defender,Spurs
Shea,Goalkeeper,Luton
Shoretire,Forward,Man Utd
Simms,Forward,Everton
Sinisalo,Goalkeeper,Aston Villa
Siriki,Midfielder,Bournemouth
Slimane,Midfielder,Sheffield Utd
Slonina,Goalkeeper,Chelsea
Smith,Defender,Bournemouth
Smith Rowe,Midfielder,Arsenal
Spence,Defender,Spurs
Stansfield,Forward,Fulham
Steffen,Goalkeeper,Man City
Stones,Defender,Man City
Strakosha,Goalkeeper,Brentford
Stutter,Forward,Chelsea
Surridge,Forward,Nottm Forest
Sánchez,Defender,Spurs
T.Davies,Midfielder,Sheffield Utd
Tanganga,Defender,Spurs
Taylor,Forward,Luton
Thiago,Midfielder,Liverpool
Thomas,Defender,Burnley
Thorpe,Midfielder,Luton
Tierney,Defender,Arsenal
Toffolo,Defender,Nottm Forest
Toney,Forward,Brentford
